"Função heurística: div(cost,mul(area,degree))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@newmolecule,0,0,0,0,0,2,0,0,0,0,2
function@freeresidue,0,0,0,0,0,4,0,0,0,0,14.5294
function@freemolecule,0,0,0,0,0,3,0,0,0,0,14.4062
function@addstrand,0,0,0,0,0,13,0,0,0,0,32.9194
function@addresidue,1,0,0,1,0,10,0.255814,0,1,0,24.2985
function@connectres,29,7,0,7,0,12,1.14604,0.575509,3.41233,0,15.162
function@mergestr,28,18,0,16,8,29,7.60696,0.674718,1.76647,1.27556,15.9889
function@upd_molnumbers,6,0,0,2,0,1,411.333,0,13.6667,0,126.952
function@countmolstrands,0,0,0,0,0,3,0,0,0,0,3
function@countstrandresidues,0,0,0,0,0,1,0,0,0,0,15.75
function@countmolres,0,0,0,0,0,4,0,0,0,0,9.33333
function@countmolatoms,0,0,0,0,0,5,0,0,0,0,256.905
function@dist,0,0,0,0,0,5,0,0,0,0,5
function@distp,0,0,0,0,0,0,0,0,0,0,0
function@angle,1,0,0,3,0,8,0.999999,0,1.94118,0,8
function@anglep,1,0,0,3,0,0,1,0,1.94444,0,0
function@torsion,0,0,0,0,0,17,0,0,0,0,17
function@torsionp,20,23,0,10,0,3,20,23,10,0,2
function@getresname,0,0,0,0,0,4,0,0,0,0,3.66667
function@cap,49,22,0,17,2,24,44.166,88.2014,22.2049,1.72545,18.9303
function@copyextbonds,0,0,0,0,0,3,0,0,0,0,21.16
function@setreskind,3,0,0,2,0,3,3,0,2,0,7.27298
function@setxyz_from_mol,0,0,0,0,0,3,0,0,0,0,3
function@setxyzw_from_mol,0,0,0,0,0,3,0,0,0,0,3
function@setmol_from_xyz,0,0,0,0,0,3,0,0,0,0,3
function@setmol_from_xyzw,0,0,0,0,0,3,0,0,0,0,3
function@NAB_ainit,0,0,0,0,0,0,0,0,0,0,0
function@NAB_initres,0,0,0,0,0,0,0,0,0,0,0
function@NAB_initatom,0,0,0,0,0,0,0,0,0,0,0
function@NAB_mnext,0,0,0,0,0,2,0,0,0,0,1.19255
function@NAB_rnext,0,0,0,0,0,2,0,0,0,0,2
function@NAB_anext,0,0,0,0,0,1,0,0,0,0,1
function@NAB_mri,22,0,0,5,3,8,150.405,0,5.60345,0.974138,48.8563
function@NAB_rri,26,0,0,9,3,8,151.747,0,6.9454,0.974138,48.8563
function@NAB_rrc,0,0,0,0,0,7,0,0,0,0,5.03736
function@NAB_ari,44,0,0,15,6,13,140.947,0,6.90182,0.992286,45.9186
function@NAB_arf,0,0,0,0,0,11,0,0,0,0,5.5708
function@NAB_arc,25,2,0,16,4,13,69.8236,2.87224,7.23414,1.9378,23.3524
function@NAB_arp,0,0,0,0,0,0,0,0,0,0,0
function@newtransform,16,0,0,5,0,0,10.75,0,3.875,0,0
function@concat_mat,0,0,0,0,0,0,0,0,0,0,0
function@transformres,0,0,0,0,0,4,0,0,0,0,4
function@transformmol,0,0,0,0,0,5,0,0,0,0,5
function@transformpts,0,0,0,0,0,3,0,0,0,0,1.31373
function@updtransform,0,0,0,0,0,0,0,0,0,0,0
function@trans4p,0,0,0,0,0,1,0,0,0,0,1
function@NAB_matcpy,0,0,0,0,0,1,0,0,0,0,1
function@trans4,1,0,0,1,0,9,1,0,1,0,9
function@rot4p,13,15,0,14,0,6,13,15,12.5,0,6
function@rot4,1,0,0,1,0,9,1,0,1,0,9
function@set_belly_mask,66,3,0,7,0,32,292.547,7.64062,3.1875,0,253.108
function@set_cons_mask,0,0,0,0,0,4,0,0,0,0,4
function@circle,0,1,0,1,0,0,0,1,1,0,0
function@delete_atom,3,10,0,5,2,5,7.15686,402.882,1.23529,0.647059,28.4314
function@rt_errormsg,0,0,0,0,0,1,0,0,0,0,1
function@rt_errormsg_s,0,0,0,0,0,1,0,0,0,0,1
function@rt_errormsg_2s,0,0,0,0,0,1,0,0,0,0,1
function@rt_errormsg_d,0,0,0,0,0,1,0,0,0,0,1
function@regcomp,5,0,0,1,0,34,0.515502,0,1,0,8.97962
function@p_ere,29,25,0,20,6,33,52.4961,111.536,93.6498,8.10932,85.4961
function@p_bre,14,11,0,8,4,32,17.6714,13.8518,6.21681,1.86149,47.3864
function@doinsert,0,0,0,0,0,5,0,0,0,0,4.37459
function@p_bracket,213,20,0,19,6,56,140.675,6.30975,8.69373,1.98208,39.3761
function@ordinary,1,0,0,1,0,6,0.125,0,0.125,0,2.46875
function@repeat,154,5,0,8,2,28,9.52424,1.43626,3.21705,0.140952,11.0192
function@p_b_symbol,4,1,0,3,1,6,0.350573,0.145887,0.158417,0.145887,2.16271
function@bothcases,1,0,0,1,0,2,1,0,1,0,2
function@regexec,120,65,0,45,18,102,57.8823,35.1347,13.6186,5.26595,403.319
function@sslow,16,22,0,10,5,39,240.381,396.048,90.8571,46.0476,4928.48
function@sdissect,40,5,0,6,0,64,1400.12,187.562,35.875,0,1528.44
function@sbackref,20,8,0,3,3,42,0.0449611,9.0838,3,0.000603545,31.2858
function@sstep,0,1,0,1,1,40,0,0.792453,0.490566,0.490566,52.3019
function@lslow,13,19,0,9,3,37,310.19,299.095,89.8571,44.0476,3686.67
function@ldissect,38,5,0,5,0,64,1222.5,187.562,19.9375,0,1528.44
function@lbackref,20,8,0,3,3,42,0.0449611,9.0838,3,0.000603545,31.2858
function@lstep,0,1,0,1,1,13,0,0.792453,0.490566,0.490566,33
function@regfree,0,0,0,0,0,1,0,0,0,0,0.148148
function@regerror,0,0,0,0,0,30,0,0,0,0,8.83271
function@spec_srand,0,0,0,0,0,1,0,0,0,0,31.875
function@spec_init_genrand,0,0,0,0,0,1,0,0,0,0,31.875
function@spec_rand,0,0,0,0,0,0,0,0,0,0,0
function@spec_genrand_int32,0,0,0,0,0,11,0,0,0,0,79.129
function@spec_lrand48,0,0,0,0,0,0,0,0,0,0,0
function@spec_init_by_array,0,0,0,0,0,5,0,0,0,0,97.625
function@spec_genrand_int31,0,0,0,0,0,0,0,0,0,0,0
function@spec_genrand_real1,0,0,0,0,0,0,0,0,0,0,0
function@spec_genrand_real2,0,0,0,0,0,0,0,0,0,0,0
function@spec_genrand_real3,0,0,0,0,0,0,0,0,0,0,0
function@spec_genrand_res53,0,0,0,0,0,1,0,0,0,0,1
function@getpdb,24,2,0,16,8,32,110.803,17.3432,75.1324,12.5977,713.583
function@getmatrix,0,0,0,0,0,18,0,0,0,0,178.697
function@putpdb,72,25,0,22,9,31,8758.39,5382.72,210.009,184.233,3931.7
function@putcif,24,8,0,12,3,8,8624.24,15327.2,437.941,236.471,7534.83
function@putbnd,15,7,0,7,0,11,1313.56,9.94761,14.0894,0,2768.92
function@putdist,13,6,0,7,3,19,220108,6042.16,197.386,351.373,59981.2
function@putmatrix,0,0,0,0,0,28,0,0,0,0,22.5143
function@initres,0,0,0,0,0,0,0,0,0,0,0
function@makebonds,0,0,0,0,0,5,0,0,0,0,21.32
function@chirvol,0,0,0,0,0,0,0,0,0,0,0
function@nrerror,0,0,0,0,0,1,0,0,0,0,1
function@vector,0,0,0,0,0,4,0,0,0,0,3
function@ivector,0,0,0,0,0,3,0,0,0,0,3
function@ipvector,0,0,0,0,0,3,0,0,0,0,3
function@matrix,0,0,0,0,0,11,0,0,0,0,10.5
function@imatrix,0,0,0,0,0,11,0,0,0,0,10.5
function@free_vector,0,0,0,0,0,0,0,0,0,0,0
function@free_ivector,0,0,0,0,0,0,0,0,0,0,0
function@free_matrix,0,0,0,0,0,1,0,0,0,0,1
function@free_imatrix,0,0,0,0,0,1,0,0,0,0,1
function@errormsg,0,0,0,0,0,2,0,0,0,0,2
function@errormsg_s,0,0,0,0,0,3,0,0,0,0,3
function@errormsg_2s,0,0,0,0,0,3,0,0,0,0,3
function@errormsg_d,0,0,0,0,0,3,0,0,0,0,3
function@errors,0,0,0,0,0,0,0,0,0,0,0
function@seconds,0,0,0,0,0,0,0,0,0,0,0
function@myroc,0,0,0,0,0,3,0,0,0,0,2.61905
function@get_nr_debug,0,0,0,0,0,0,0,0,0,0,0
function@get_blocksize,0,0,0,0,0,0,0,0,0,0,0
